Profile Summary for flash Attention\n==================================================\n\n-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm        12.16%      10.124ms        23.94%      19.934ms      36.243us      55.172ms        53.87%      56.005ms     101.826us           0 b           0 b       1.56 Gb       1.17 Gb           550  
       autograd::engine::evaluate_function: MmBackward0         1.29%       1.075ms        14.21%      11.832ms      78.880us       0.000us         0.00%      28.538ms     190.255us           0 b           0 b     150.00 Mb    -600.00 Mb           150  
                                            MmBackward0         1.64%       1.364ms        12.92%      10.757ms      71.714us       0.000us         0.00%      28.538ms     190.255us           0 b           0 b     750.00 Mb           0 b           150  
autograd::engine::evaluate_function: ScaledDotProduc...         1.14%     950.866us        11.31%       9.418ms     188.358us       0.000us         0.00%      27.619ms     552.371us        -800 b        -800 b    -403.12 Mb   -1003.12 Mb            50  
            ScaledDotProductEfficientAttentionBackward0         0.41%     343.742us        10.17%       8.467ms     169.341us       0.000us         0.00%      27.619ms     552.371us           0 b           0 b     600.00 Mb           0 b            50  
aten::_scaled_dot_product_efficient_attention_backwa...         0.92%     764.774us         9.76%       8.123ms     162.466us       0.000us         0.00%      27.619ms     552.371us           0 b           0 b     600.00 Mb           0 b            50  
                    aten::_efficient_attention_backward         1.64%       1.362ms         7.81%       6.500ms     130.000us      26.286ms        25.67%      27.619ms     552.371us           0 b           0 b     600.00 Mb    -406.45 Mb            50  
fmha_cutlassB_f32_aligned_64x64_k64_dropout_sm80(PyT...         0.00%       0.000us         0.00%       0.000us       0.000us      26.286ms        25.67%      26.286ms     525.722us           0 b           0 b           0 b           0 b            50  
                                           aten::linear         0.86%     716.585us        16.60%      13.820ms      69.100us       0.000us         0.00%      22.119ms     110.596us           0 b           0 b     800.00 Mb           0 b           200  
