Profile Summary for standard Attention\n==================================================\n\n-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              aten::bmm         4.45%       4.946ms         6.08%       6.758ms      22.528us      54.241ms        39.25%      54.241ms     180.804us           0 b           0 b       3.91 Gb       3.91 Gb           300  
                                               aten::mm         9.09%      10.109ms        17.94%      19.959ms      36.290us      49.746ms        36.00%      50.499ms      91.816us           0 b           0 b       1.56 Gb       1.17 Gb           550  
      autograd::engine::evaluate_function: BmmBackward0         0.90%       1.001ms         6.26%       6.961ms      69.613us       0.000us         0.00%      38.585ms     385.855us           0 b           0 b      -1.76 Gb      -3.91 Gb           100  
                                           BmmBackward0         0.77%     860.329us         5.36%       5.960ms      59.600us       0.000us         0.00%      38.585ms     385.855us           0 b           0 b       2.15 Gb           0 b           100  
                                           aten::matmul         2.02%       2.242ms        17.97%      19.988ms      79.954us       0.000us         0.00%      32.397ms     129.587us           0 b           0 b       2.93 Gb           0 b           250  
       autograd::engine::evaluate_function: MmBackward0         0.94%       1.040ms        11.26%      12.525ms      83.499us       0.000us         0.00%      25.692ms     171.283us           0 b           0 b     150.00 Mb    -600.00 Mb           150  
                                            MmBackward0         1.49%       1.662ms        10.33%      11.485ms      76.565us       0.000us         0.00%      25.692ms     171.283us           0 b           0 b     750.00 Mb           0 b           150  
                                ampere_sgemm_128x128_nt         0.00%       0.000us         0.00%       0.000us       0.000us      22.694ms        16.42%      22.694ms     226.938us           0 b           0 b           0 b           0 b           100  
                                           aten::linear         0.83%     922.629us        12.81%      14.250ms      71.248us       0.000us         0.00%      20.015ms     100.076us           0 b           0 b     800.00 Mb           0 b           200  
                        ampere_sgemm_64x32_sliced1x4_nn         0.00%       0.000us         0.00%       0.000us       0.000us      16.436ms        11.89%      16.436ms      82.180us           0 b           0 b           0 b           0 b           200  
